Operacao;HotelId;Pais;Estado;Cidade;Hotel;Endereco;Bairro;Cep;Telefone;Email;Site;Latitude;Longitude;ISS;TaxaTur;TaxaSer;Cafe;Amenidades;Estrelas;Foto;Ativo;Status;geocode_end
;8B4122B1-72D4-4F5E-BCB9-350497E1B420;Brasil;Acre;Brasileia;Tropical Hotel;Avenida Doutor Manoel Marinho Monte, 1536;Ferreira Silva;;;;;-10.99865;-68.7519;;;;N;;0;;S;;Brasil,Acre,Brasileia,Tropical Hotel,Avenida Doutor Manoel Marinho Monte, 1536,Ferreira Silva,        
;1CF153E6-5DA3-4DCE-806E-574FAF140E44;Brasil;Acre;Brasileia;Pousada Aconchego Da Floresta;Avenida Doutor Manoel Marinho Monte, 401;Eldorado;;;;;-11.00637;-68.74574;;;;N;;0;;S;;Brasil,Acre,Brasileia,Pousada Aconchego Da Floresta,Avenida Doutor Manoel Marinho Monte, 401,Eldorado,        
;B991C8AB-EFA1-4FA0-AFAD-5AEB3FF2598E;Brasil;Acre;Brasileia;Hotel G&k;Rua Francisco de Assis, 103;Ferreira Silva;19936000;;;;-11.00104;-68.74704;;;;N;;0;;S;;Brasil,Acre,Brasileia,Hotel G&k,Rua Francisco de Assis, 103,Ferreira Silva,19936000
;48638296-3B3C-415D-9609-77A1251F4FDE;Brasil;Acre;Brasileia;Brasileia Palace Hotel;Rua Hilario Meireles, 180;Centro;;;ache@kontik.com.br;;-11.01675;-68.74912;;;;N;;0;;S;;Brasil,Acre,Brasileia,Brasileia Palace Hotel,Rua Hilario Meireles, 180,Centro,        
;9719D4D9-CA90-4C11-9979-130BA0FC6541;Brasil;Acre;Cruzeiro do Sul;Hotel Jurua;Ria Alfredo Teles, 532;Joao Alves;;;;;-7.63461;-72.67276;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Hotel Jurua,Ria Alfredo Teles, 532,Joao Alves,        
;41E86478-E286-4007-83B6-2061F2C700B2;Brasil;Acre;Cruzeiro do Sul;Plinio Hotel Acre;Rua Boulevard Thaumarturgo, 155 171;Centro;;;;;-7.63576;-72.66954;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Plinio Hotel Acre,Rua Boulevard Thaumarturgo, 155 171,Centro,        
;47D52E2B-E3C9-45B0-84AC-678D1303FC0F;Brasil;Acre;Cruzeiro do Sul;Hotel e Locadora Cruzeiro;Avenida Rodrigues Alves, 340;Centro;69980000;;;;-7.6337;-72.66655;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Hotel e Locadora Cruzeiro,Avenida Rodrigues Alves, 340,Centro,69980000
;70388AC3-4ADB-4ADB-B3E9-7C8996777675;Brasil;Acre;Cruzeiro do Sul;Hotel Sesc Cruzeiro Do Sul;Rodovia Ac 405, SN Km 06;Zona Rural;;;ache@kontik.com.br;;-7.62586;-72.68052;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Hotel Sesc Cruzeiro Do Sul,Rodovia Ac 405, SN Km 06,Zona Rural,        
;45F25080-4BAB-4269-BF5B-7F60057A4611;Brasil;Acre;Cruzeiro do Sul;Mandari Hotel Ltda;Av. Rodrigues Alves;Centro;69980000;;;;-7.63266;-72.66629;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Mandari Hotel Ltda,Av. Rodrigues Alves,Centro,69980000
;7554314D-648A-4D86-9CDB-A5EC7A32120B;Brasil;Acre;Cruzeiro do Sul;Samauma Hotel Cruzeiro do Sul;do Aeroporto Velho;Santa Terezinha;69980000;;;;-7.62356;-72.6887;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Samauma Hotel Cruzeiro do Sul,do Aeroporto Velho,Santa Terezinha,69980000
;31650E66-8F70-4F1D-BB63-C5C581EFE491;Brasil;Acre;Cruzeiro do Sul;Swamy Hotel;Rui Barbosa;Centro;69980000;;;;-7.6342;-72.66574;;;;N;;0;;S;;Brasil,Acre,Cruzeiro do Sul,Swamy Hotel,Rui Barbosa,Centro,69980000
;4F44AE31-EAC6-4B3A-B2C8-D095B53951F1;Brasil;Acre;Epitaciolandia;Pousada Laurian;Rodovia Br 317, Km 02, SN Cxpst 42;Aeroporto;;;;;-11.03861;-68.71987;;;;N;;0;;S;;Brasil,Acre,Epitaciolandia,Pousada Laurian,Rodovia Br 317, Km 02, SN Cxpst 42,Aeroporto,        
;B5F96AA9-D8B7-4637-B52C-E4AC8E99185B;Brasil;Acre;Epitaciolandia;Vale das Orquideas Hotel;Avenida Internacional, 249;Centro;;;;;-11.02531;-68.74841;;;;N;;0;;S;;Brasil,Acre,Epitaciolandia,Vale das Orquideas Hotel,Avenida Internacional, 249,Centro,        
;7E412A0D-3B46-4513-9799-1090460F634B;Brasil;Acre;Feijo;Hotel Acai;Avenida Marechal Deodoro, 1919;Eletroacre;;;;;-8.17361;-70.35927;;;;N;;0;;S;;Brasil,Acre,Feijo,Hotel Acai,Avenida Marechal Deodoro, 1919,Eletroacre,        
;D9D24428-0C66-451D-B2EF-67474CB9E6FC;Brasil;Acre;Jordao;Pousada Boa Vista;Ram Santa Julia, 00;Zona Rural;;;;;-10.00299;-67.83816;;;;N;;0;;S;;Brasil,Acre,Jordao,Pousada Boa Vista,Ram Santa Julia, 00,Zona Rural,        
;BCFA701E-3D88-4A98-A3DA-7D411F809B46;Brasil;Acre;Marechal Thaumaturgo;Hotel Pedroza;Avenida Beira Rio, 142 254;;;;;;-8.94055;-72.78355;;;;N;;0;;S;;Brasil,Acre,Marechal Thaumaturgo,Hotel Pedroza,Avenida Beira Rio, 142 254,,        
;05763442-A091-43D5-BBD8-6724D5D7A227;Brasil;Acre;Placido de Castro;Distribuidora Vale Do Abuna;Avenida Juvenal Antunes, 175;;;;;;-10.33545;-67.18653;;;;N;;0;;S;;Brasil,Acre,Placido de Castro,Distribuidora Vale Do Abuna,Avenida Juvenal Antunes, 175,,        
;841997A3-37CB-419C-94F1-D6187B56C48D;Brasil;Acre;Porto Walter;Vitoria Hotel II;Rua Armando Geraldo, 44;;;;;;-20.30917;-40.35074;;;;N;;0;;S;;Brasil,Acre,Porto Walter,Vitoria Hotel II,Rua Armando Geraldo, 44,,        
;C8EDDA55-8720-4D9D-A277-03B896CD11E9;Brasil;Acre;Rio Branco;Pinheiro Palace Hotel - Rio Branco;Rui Barbosa;Centro;69908680;;;;-9.973;-67.81147;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Pinheiro Palace Hotel - Rio Branco,Rui Barbosa,Centro,69908680
;16DF4E02-8DEA-4DE4-81F4-13CE1A9B12A4;Brasil;Acre;Rio Branco;Hotel Triangulo-rio Branco;Floriano Peixoto;Centro;69908030;;;;-9.97471;-67.81183;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Triangulo-rio Branco,Floriano Peixoto,Centro,69908030
;33BB5917-6A09-442C-8106-42A3745BBA93;Brasil;Acre;Rio Branco;Hotel Guapindaia;R Floriano Peixoto,;Centro;69908030;;;;-9.97586;-67.81108;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Guapindaia,R Floriano Peixoto,,Centro,69908030
;F44D8A88-5F57-45AD-9836-48683A1C4762;Brasil;Acre;Rio Branco;Hotel Guapindaia Bosque;Rua Jose Galdino;Bosque;69900640;;;;-9.96149;-67.81313;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Guapindaia Bosque,Rua Jose Galdino,Bosque,69900640
;5C2A52D9-C025-4D79-AC1E-611A985AD8B0;Brasil;Acre;Rio Branco;Villa Rio Branco Hotel Concept;Rua Cunha Matos, 393;Seis de Agosto;69905590;;;;-9.9816;-67.80967;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Villa Rio Branco Hotel Concept,Rua Cunha Matos, 393,Seis de Agosto,69905590
;D34E601A-4859-4B1E-B696-66E14DA4A295;Brasil;Acre;Rio Branco;Nobile Suites Gran Lumni;Avenida Ceara, 2156;Bosque;69900379;;;;-9.97035;-67.81581;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Nobile Suites Gran Lumni,Avenida Ceara, 2156,Bosque,69900379
;38D01064-B565-4D8F-A0CE-774B5D09563A;Brasil;Acre;Rio Branco;Hotel Diff;Rua Rio Grande Do Sul, 332;Dom Giocondo;69900324;;;;-9.97243;-67.81393;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Diff,Rua Rio Grande Do Sul, 332,Dom Giocondo,69900324
;FA2227A7-2DFA-4813-ACC6-7C9362AECE13;Brasil;Acre;Rio Branco;Viver Residence Apart Hotel;Rua Educandos;Vila Ivonete;69914440;;;;-9.95376;-67.82611;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Viver Residence Apart Hotel,Rua Educandos,Vila Ivonete,69914440
;E2CB4482-E5F2-4277-A511-8B930C4C6ABD;Brasil;Acre;Rio Branco;Amazonia Palace Hotel;Rua Isaura Parente;Bosque;69900490;;;;-9.96462;-67.81646;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Amazonia Palace Hotel,Rua Isaura Parente,Bosque,69900490
;B0B6F7DB-1C0D-44A2-AA2F-94D1B861F2BF;Brasil;Acre;Rio Branco;Hotel Joao Paulo;Avenida Ceara;Centro;69908690;;;;-9.97044;-67.81521;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Joao Paulo,Avenida Ceara,Centro,69908690
;652F1FEA-0765-49DE-92B0-970A40E1F708;Brasil;Acre;Rio Branco;Inacio Palace Hotel;Rua Rui Barbosa, N 450/469;Centro;69908680;;;;-9.973;-67.81147;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Inacio Palace Hotel,Rua Rui Barbosa, N 450/469,Centro,69908680
;97C7CA89-1601-4DB6-B3B4-98D56151F783;Brasil;Acre;Rio Branco;Ibis Rio Branco;Estrada Dias Martins, 4600;Conjunto Tucuma;69919670;;;;-9.95936;-67.85714;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Ibis Rio Branco,Estrada Dias Martins, 4600,Conjunto Tucuma,69919670
;3841A7B0-AE4B-4F27-952C-C604521A62FA;Brasil;Acre;Rio Branco;Hotel Maju;Nacoes Unidas, 302;Bosque;69909720;;;;-9.96405;-67.81081;;;;N;;0;;S;;Brasil,Acre,Rio Branco,Hotel Maju,Nacoes Unidas, 302,Bosque,69909720
